0,100,100,100,100,100,100,100,100,0
0,49.815,69.132,77.446,80.712,80.712,77.446,69.132,49.815,0
0,30.175,49.348,60.054,64.817,64.817,60.054,49.348,30.175,0
0,21.619,38.189,48.817,53.926,53.926,48.817,38.189,21.619,0
0,18.226,33.186,43.383,48.47,48.47,43.383,33.186,18.226,0
0,18.226,33.186,43.383,48.47,48.47,43.383,33.186,18.226,0
0,21.619,38.189,48.817,53.926,53.926,48.817,38.189,21.619,0
0,30.175,49.348,60.054,64.817,64.817,60.054,49.348,30.175,0
0,49.815,69.132,77.446,80.712,80.712,77.446,69.132,49.815,0
0,100,100,100,100,100,100,100,100,0
